Dataset,Seed,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
COVID-19,42,Logistic Regression,Baseline (No Privacy),0.9586,0.42016806722689076,0.6578947368421053,0.30864197530864196,0.03133273124694824
COVID-19,42,Random Forest,Baseline (No Privacy),0.9588,0.4690721649484536,0.6275862068965518,0.37448559670781895,0.7848272323608398
COVID-19,42,DP Logistic Regression,DP e=10.0,0.7581,0.2582030052131248,0.15171171171171172,0.8662551440329218,0.024543046951293945
COVID-19,42,DP Logistic Regression,DP e=5.0,0.7578,0.25796568627450983,0.15154787616990642,0.8662551440329218,0.02436995506286621
COVID-19,42,DP Logistic Regression,DP e=1.0,0.7299,0.2372211239762779,0.13747954173486088,0.8641975308641975,0.02028203010559082
COVID-19,42,DP Logistic Regression,DP e=0.5,0.7638,0.2609511889862328,0.15387453874538745,0.8580246913580247,0.022954940795898438
COVID-19,42,DP Logistic Regression,DP e=0.1,0.8049,0.28351083363936835,0.17255252570406795,0.7942386831275721,0.018191814422607422
COVID-19,42,DP Random Forest,DP e=10.0,0.9514,0.0,0.0,0.0,0.1483778953552246
COVID-19,42,DP Random Forest,DP e=5.0,0.9514,0.0,0.0,0.0,0.21260499954223633
COVID-19,42,DP Random Forest,DP e=1.0,0.9514,0.0,0.0,0.0,0.14110779762268066
COVID-19,42,DP Random Forest,DP e=0.5,0.9514,0.0,0.0,0.0,0.14294695854187012
COVID-19,42,DP Random Forest,DP e=0.1,0.9514,0.0,0.0,0.0,0.14751529693603516
COVID-19,43,Logistic Regression,Baseline (No Privacy),0.9569,0.40387275242047027,0.6160337552742616,0.3004115226337449,0.01762986183166504
COVID-19,43,Random Forest,Baseline (No Privacy),0.9585,0.4818976279650437,0.6126984126984127,0.39711934156378603,0.8149240016937256
COVID-19,43,DP Logistic Regression,DP e=10.0,0.7618,0.26390605686032137,0.15527272727272728,0.8786008230452675,0.02118515968322754
COVID-19,43,DP Logistic Regression,DP e=5.0,0.7608,0.26309303758471964,0.15471014492753624,0.8786008230452675,0.020795822143554688
COVID-19,43,DP Logistic Regression,DP e=1.0,0.7501,0.25425246195165624,0.1486910994764398,0.8765432098765432,0.01994609832763672
COVID-19,43,DP Logistic Regression,DP e=0.5,0.7985,0.2937259025587101,0.17701732150401353,0.8621399176954733,0.019395112991333008
COVID-19,43,DP Logistic Regression,DP e=0.1,0.8683,0.281505728314239,0.1915367483296214,0.5308641975308642,0.018004894256591797
COVID-19,43,DP Random Forest,DP e=10.0,0.9514,0.0,0.0,0.0,0.14309406280517578
COVID-19,43,DP Random Forest,DP e=5.0,0.9514,0.0,0.0,0.0,0.1449747085571289
COVID-19,43,DP Random Forest,DP e=1.0,0.9514,0.0,0.0,0.0,0.1413130760192871
COVID-19,43,DP Random Forest,DP e=0.5,0.9514,0.0,0.0,0.0,0.14124703407287598
COVID-19,43,DP Random Forest,DP e=0.1,0.9514,0.0,0.0,0.0,0.14076018333435059
COVID-19,44,Logistic Regression,Baseline (No Privacy),0.9557,0.39727891156462586,0.5863453815261044,0.3004115226337449,0.020367860794067383
COVID-19,44,Random Forest,Baseline (No Privacy),0.9578,0.49033816425120774,0.5935672514619883,0.4176954732510288,0.7762360572814941
COVID-19,44,DP Logistic Regression,DP e=10.0,0.7559,0.2582801580066849,0.15151515151515152,0.8744855967078189,0.0209808349609375
COVID-19,44,DP Logistic Regression,DP e=5.0,0.7551,0.2576538344953016,0.1510842516885887,0.8744855967078189,0.02081775665283203
COVID-19,44,DP Logistic Regression,DP e=1.0,0.7133,0.23444592790387184,0.13470389690088985,0.9032921810699589,0.02179718017578125
COVID-19,44,DP Logistic Regression,DP e=0.5,0.7554,0.25833838690115224,0.1514935988620199,0.8765432098765432,0.023913860321044922
COVID-19,44,DP Logistic Regression,DP e=0.1,0.7974,0.27849002849002846,0.16838931955211026,0.8045267489711934,0.016585826873779297
COVID-19,44,DP Random Forest,DP e=10.0,0.9514,0.0,0.0,0.0,0.15110492706298828
COVID-19,44,DP Random Forest,DP e=5.0,0.9514,0.0,0.0,0.0,0.14667701721191406
COVID-19,44,DP Random Forest,DP e=1.0,0.9514,0.0,0.0,0.0,0.14385104179382324
COVID-19,44,DP Random Forest,DP e=0.5,0.9514,0.0,0.0,0.0,0.1448366641998291
