Dataset,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
NHANES,DP Logistic Regression,DP e=0.1,0.8007168458781362,0.17546126746139037,0.15497537090926689,0.2444444444444444,0.002071571350097656
NHANES,DP Logistic Regression,DP e=0.5,0.8810035842293906,0.34713132476215225,0.5337301587301587,0.3814814814814815,0.0023618221282958986
NHANES,DP Logistic Regression,DP e=1.0,0.8706093189964157,0.4518239228601847,0.5424567810934671,0.5555555555555556,0.003061532974243164
NHANES,DP Logistic Regression,DP e=10.0,0.896415770609319,0.5816989674184991,0.4810220650191296,0.7407407407407407,0.0031541824340820313
NHANES,DP Logistic Regression,DP e=5.0,0.9046594982078853,0.6015981141814196,0.5167321512679095,0.7333333333333333,0.0031400680541992187
NHANES,DP Random Forest,DP e=0.1,0.9035842293906811,0.007272727272727273,0.2,0.0037037037037037034,0.09078078269958496
NHANES,DP Random Forest,DP e=0.5,0.9035842293906811,0.007272727272727273,0.2,0.0037037037037037034,0.08566036224365234
NHANES,DP Random Forest,DP e=1.0,0.9032258064516128,0.0,0.0,0.0,0.08610057830810547
NHANES,DP Random Forest,DP e=10.0,0.9032258064516128,0.0,0.0,0.0,0.08437929153442383
NHANES,DP Random Forest,DP e=5.0,0.9032258064516128,0.0,0.0,0.0,0.08532061576843261
NHANES,Logistic Regression,Baseline (No Privacy),0.9326164874551971,0.5191207963305603,0.8232557199450239,0.3851851851851852,0.003321266174316406
NHANES,Random Forest,Baseline (No Privacy),0.9516129032258064,0.7353926103785995,0.7802291325695581,0.6962962962962963,0.16595630645751952
