Dataset,Seed,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
NHANES,42,Logistic Regression,Baseline (No Privacy),0.9247311827956989,0.4166666666666667,0.8333333333333334,0.2777777777777778,0.00433802604675293
NHANES,42,Random Forest,Baseline (No Privacy),0.9516129032258065,0.7272727272727273,0.8,0.6666666666666666,0.1692359447479248
NHANES,42,DP Logistic Regression,DP e=10.0,0.9068100358422939,0.6119402985074627,0.5125,0.7592592592592593,0.003155946731567383
NHANES,42,DP Logistic Regression,DP e=5.0,0.9193548387096774,0.64,0.5633802816901409,0.7407407407407407,0.003172159194946289
NHANES,42,DP Logistic Regression,DP e=1.0,0.9283154121863799,0.6825396825396826,0.5972222222222222,0.7962962962962963,0.002866983413696289
NHANES,42,DP Logistic Regression,DP e=0.5,0.9175627240143369,0.5490196078431373,0.5833333333333334,0.5185185185185185,0.002338886260986328
NHANES,42,DP Logistic Regression,DP e=0.1,0.7634408602150538,0.175,0.1320754716981132,0.25925925925925924,0.0022449493408203125
NHANES,42,DP Random Forest,DP e=10.0,0.9032258064516129,0.0,0.0,0.0,0.08553600311279297
NHANES,42,DP Random Forest,DP e=5.0,0.9032258064516129,0.0,0.0,0.0,0.08527207374572754
NHANES,42,DP Random Forest,DP e=1.0,0.9032258064516129,0.0,0.0,0.0,0.08397889137268066
NHANES,42,DP Random Forest,DP e=0.5,0.9032258064516129,0.0,0.0,0.0,0.08383297920227051
NHANES,42,DP Random Forest,DP e=0.1,0.9032258064516129,0.0,0.0,0.0,0.0830526351928711
NHANES,43,Logistic Regression,Baseline (No Privacy),0.9408602150537635,0.611764705882353,0.8387096774193549,0.48148148148148145,0.002904176712036133
NHANES,43,Random Forest,Baseline (No Privacy),0.953405017921147,0.7547169811320755,0.7692307692307693,0.7407407407407407,0.1695389747619629
NHANES,43,DP Logistic Regression,DP e=10.0,0.9121863799283154,0.6259541984732825,0.5324675324675324,0.7592592592592593,0.0032079219818115234
NHANES,43,DP Logistic Regression,DP e=5.0,0.9175627240143369,0.6349206349206349,0.5555555555555556,0.7407407407407407,0.003245115280151367
NHANES,43,DP Logistic Regression,DP e=1.0,0.9265232974910395,0.616822429906542,0.6226415094339622,0.6111111111111112,0.002346038818359375
NHANES,43,DP Logistic Regression,DP e=0.5,0.9157706093189965,0.5436893203883495,0.5714285714285714,0.5185185185185185,0.002165079116821289
NHANES,43,DP Logistic Regression,DP e=0.1,0.9014336917562724,0.46601941747572817,0.4897959183673469,0.4444444444444444,0.0017428398132324219
NHANES,43,DP Random Forest,DP e=10.0,0.9032258064516129,0.0,0.0,0.0,0.0813291072845459
NHANES,43,DP Random Forest,DP e=5.0,0.9032258064516129,0.0,0.0,0.0,0.08414888381958008
NHANES,43,DP Random Forest,DP e=1.0,0.9032258064516129,0.0,0.0,0.0,0.08420324325561523
NHANES,43,DP Random Forest,DP e=0.5,0.9032258064516129,0.0,0.0,0.0,0.08307600021362305
NHANES,43,DP Random Forest,DP e=0.1,0.9032258064516129,0.0,0.0,0.0,0.08478403091430664
NHANES,44,Logistic Regression,Baseline (No Privacy),0.9229390681003584,0.410958904109589,0.7894736842105263,0.2777777777777778,0.0030159950256347656
NHANES,44,Random Forest,Baseline (No Privacy),0.9444444444444444,0.693069306930693,0.7446808510638298,0.6481481481481481,0.15807390213012695
NHANES,44,DP Logistic Regression,DP e=10.0,0.8978494623655914,0.5511811023622047,0.4794520547945205,0.6481481481481481,0.003072977066040039
NHANES,44,DP Logistic Regression,DP e=5.0,0.9175627240143369,0.5964912280701754,0.5666666666666667,0.6296296296296297,0.0030069351196289062
NHANES,44,DP Logistic Regression,DP e=1.0,0.9139784946236559,0.22580645161290322,0.875,0.12962962962962962,0.0030601024627685547
NHANES,44,DP Logistic Regression,DP e=0.5,0.9086021505376344,0.10526315789473684,1.0,0.05555555555555555,0.002538919448852539
NHANES,44,DP Logistic Regression,DP e=0.1,0.8781362007168458,0.0,0.0,0.0,0.002093076705932617
NHANES,44,DP Random Forest,DP e=10.0,0.9032258064516129,0.0,0.0,0.0,0.08238697052001953
NHANES,44,DP Random Forest,DP e=5.0,0.9032258064516129,0.0,0.0,0.0,0.08451104164123535
NHANES,44,DP Random Forest,DP e=1.0,0.9032258064516129,0.0,0.0,0.0,0.08867192268371582
NHANES,44,DP Random Forest,DP e=0.5,0.9032258064516129,0.0,0.0,0.0,0.08613181114196777
NHANES,44,DP Random Forest,DP e=0.1,0.9032258064516129,0.0,0.0,0.0,0.11419105529785156
NHANES,45,Logistic Regression,Baseline (No Privacy),0.9390681003584229,0.5952380952380952,0.8333333333333334,0.46296296296296297,0.0032699108123779297
NHANES,45,Random Forest,Baseline (No Privacy),0.9516129032258065,0.7326732673267327,0.7872340425531915,0.6851851851851852,0.16645598411560059
NHANES,45,DP Logistic Regression,DP e=10.0,0.8709677419354839,0.5263157894736842,0.40816326530612246,0.7407407407407407,0.0031549930572509766
NHANES,45,DP Logistic Regression,DP e=5.0,0.8655913978494624,0.5222929936305732,0.39805825242718446,0.7592592592592593,0.002885103225708008
NHANES,45,DP Logistic Regression,DP e=1.0,0.7007168458781362,0.3650190114068441,0.22966507177033493,0.8888888888888888,0.0033807754516601562
NHANES,45,DP Logistic Regression,DP e=0.5,0.7813620071684588,0.3838383838383838,0.2638888888888889,0.7037037037037037,0.0023279190063476562
NHANES,45,DP Logistic Regression,DP e=0.1,0.6756272401433692,0.23628691983122363,0.15300546448087432,0.5185185185185185,0.0021979808807373047
NHANES,45,DP Random Forest,DP e=10.0,0.9032258064516129,0.0,0.0,0.0,0.08527517318725586
NHANES,45,DP Random Forest,DP e=5.0,0.9032258064516129,0.0,0.0,0.0,0.08596301078796387
NHANES,45,DP Random Forest,DP e=1.0,0.9032258064516129,0.0,0.0,0.0,0.08636283874511719
NHANES,45,DP Random Forest,DP e=0.5,0.9032258064516129,0.0,0.0,0.0,0.08742904663085938
NHANES,45,DP Random Forest,DP e=0.1,0.9032258064516129,0.0,0.0,0.0,0.08677911758422852
NHANES,46,Logistic Regression,Baseline (No Privacy),0.9354838709677419,0.5609756097560976,0.8214285714285714,0.42592592592592593,0.0030782222747802734
NHANES,46,Random Forest,Baseline (No Privacy),0.956989247311828,0.7692307692307693,0.8,0.7407407407407407,0.16647672653198242
NHANES,46,DP Logistic Regression,DP e=10.0,0.8942652329749103,0.593103448275862,0.4725274725274725,0.7962962962962963,0.0031790733337402344
NHANES,46,DP Logistic Regression,DP e=5.0,0.9032258064516129,0.6142857142857143,0.5,0.7962962962962963,0.0033910274505615234
NHANES,46,DP Logistic Regression,DP e=1.0,0.8835125448028673,0.36893203883495146,0.3877551020408163,0.35185185185185186,0.0036537647247314453
NHANES,46,DP Logistic Regression,DP e=0.5,0.8817204301075269,0.15384615384615385,0.25,0.1111111111111111,0.0024383068084716797
NHANES,46,DP Logistic Regression,DP e=0.1,0.7849462365591398,0.0,0.0,0.0,0.002079010009765625
NHANES,46,DP Random Forest,DP e=10.0,0.9032258064516129,0.0,0.0,0.0,0.08736920356750488
NHANES,46,DP Random Forest,DP e=5.0,0.9032258064516129,0.0,0.0,0.0,0.08670806884765625
NHANES,46,DP Random Forest,DP e=1.0,0.9032258064516129,0.0,0.0,0.0,0.08728599548339844
