Dataset,Seed,Model,Privacy Setting,Actual Class,Predicted 0,Predicted 1
NHANES,42,Logistic Regression,Baseline (No Privacy),0,446,58
NHANES,42,Logistic Regression,Baseline (No Privacy),1,8,46
NHANES,42,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0,399,105
NHANES,42,Federated Logistic Regression,"FL (5 clients, 20 rounds)",1,8,46
NHANES,43,Logistic Regression,Baseline (No Privacy),0,445,59
NHANES,43,Logistic Regression,Baseline (No Privacy),1,7,47
NHANES,43,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0,417,87
NHANES,43,Federated Logistic Regression,"FL (5 clients, 20 rounds)",1,11,43
NHANES,44,Logistic Regression,Baseline (No Privacy),0,456,48
NHANES,44,Logistic Regression,Baseline (No Privacy),1,13,41
NHANES,44,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0,416,88
NHANES,44,Federated Logistic Regression,"FL (5 clients, 20 rounds)",1,13,41
NHANES,45,Logistic Regression,Baseline (No Privacy),0,446,58
NHANES,45,Logistic Regression,Baseline (No Privacy),1,10,44
NHANES,45,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0,391,113
NHANES,45,Federated Logistic Regression,"FL (5 clients, 20 rounds)",1,7,47
NHANES,46,Logistic Regression,Baseline (No Privacy),0,436,68
NHANES,46,Logistic Regression,Baseline (No Privacy),1,5,49
NHANES,46,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0,387,117
NHANES,46,Federated Logistic Regression,"FL (5 clients, 20 rounds)",1,7,47
