Dataset,Seed,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
NHANES,42,Logistic Regression,Baseline (No Privacy),0.8817204301075269,0.5822784810126582,0.4423076923076923,0.8518518518518519,0.00541996955871582
NHANES,42,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.7974910394265233,0.44878048780487806,0.304635761589404,0.8518518518518519,0.05164504051208496
NHANES,43,Logistic Regression,Baseline (No Privacy),0.8817204301075269,0.5875,0.44339622641509435,0.8703703703703703,0.003203153610229492
NHANES,43,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8243727598566308,0.4673913043478261,0.33076923076923076,0.7962962962962963,0.05182075500488281
NHANES,44,Logistic Regression,Baseline (No Privacy),0.8906810035842294,0.5734265734265734,0.4606741573033708,0.7592592592592593,0.003152132034301758
NHANES,44,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.8189964157706093,0.44808743169398907,0.3178294573643411,0.7592592592592593,0.05287981033325195
NHANES,45,Logistic Regression,Baseline (No Privacy),0.8781362007168458,0.5641025641025641,0.43137254901960786,0.8148148148148148,0.0038030147552490234
NHANES,45,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.7849462365591398,0.4392523364485981,0.29375,0.8703703703703703,0.05261993408203125
NHANES,46,Logistic Regression,Baseline (No Privacy),0.8691756272401434,0.5730994152046783,0.4188034188034188,0.9074074074074074,0.003351926803588867
NHANES,46,Federated Logistic Regression,"FL (5 clients, 20 rounds)",0.7777777777777778,0.43119266055045874,0.2865853658536585,0.8703703703703703,0.051811933517456055
