Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Rows Used,Rows Suppressed,Suppression Rate (%),Train Time (s)
K-anonymised Logistic Regression,K-anonymity k=10,0.9017 ± 0.0023,0.5234 ± 0.0052,0.3671 ± 0.0053,0.9115 ± 0.0076,39908.0000 ± 7.0000,92.0000 ± 7.0000,0.2300 ± 0.0187,0.0166 ± 0.0010
K-anonymised Logistic Regression,K-anonymity k=100,0.8915 ± 0.0058,0.5010 ± 0.0132,0.3445 ± 0.0129,0.9192 ± 0.0037,38441.6000 ± 49.4196,1558.4000 ± 49.4196,3.8960 ± 0.1252,0.0216 ± 0.0020
K-anonymised Logistic Regression,K-anonymity k=2,0.9017 ± 0.0023,0.5234 ± 0.0052,0.3671 ± 0.0053,0.9115 ± 0.0076,39982.0000 ± 2.5495,18.0000 ± 2.5495,0.0440 ± 0.0089,0.0185 ± 0.0005
K-anonymised Logistic Regression,K-anonymity k=20,0.8968 ± 0.0081,0.5122 ± 0.0169,0.3562 ± 0.0175,0.9132 ± 0.0103,39689.0000 ± 13.3978,311.0000 ± 13.3978,0.7760 ± 0.0351,0.0170 ± 0.0007
K-anonymised Logistic Regression,K-anonymity k=5,0.9017 ± 0.0023,0.5234 ± 0.0052,0.3671 ± 0.0053,0.9115 ± 0.0076,39941.0000 ± 3.6056,59.0000 ± 3.6056,0.1460 ± 0.0089,0.0176 ± 0.0006
K-anonymised Logistic Regression,K-anonymity k=50,0.8902 ± 0.0056,0.4984 ± 0.0126,0.3418 ± 0.0122,0.9206 ± 0.0036,39112.6000 ± 68.3396,887.4000 ± 68.3396,2.2180 ± 0.1695,0.0180 ± 0.0005
K-anonymised Random Forest,K-anonymity k=10,0.8924 ± 0.0023,0.5061 ± 0.0042,0.3475 ± 0.0047,0.9311 ± 0.0051,39908.0000 ± 7.0000,92.0000 ± 7.0000,0.2300 ± 0.0187,0.4623 ± 0.0069
K-anonymised Random Forest,K-anonymity k=100,0.8911 ± 0.0029,0.5028 ± 0.0072,0.3446 ± 0.0065,0.9297 ± 0.0044,38441.6000 ± 49.4196,1558.4000 ± 49.4196,3.8960 ± 0.1252,0.4305 ± 0.0016
K-anonymised Random Forest,K-anonymity k=2,0.8926 ± 0.0028,0.5063 ± 0.0057,0.3479 ± 0.0059,0.9300 ± 0.0037,39982.0000 ± 2.5495,18.0000 ± 2.5495,0.0440 ± 0.0089,0.4751 ± 0.0067
K-anonymised Random Forest,K-anonymity k=20,0.8920 ± 0.0042,0.5055 ± 0.0083,0.3469 ± 0.0085,0.9318 ± 0.0051,39689.0000 ± 13.3978,311.0000 ± 13.3978,0.7760 ± 0.0351,0.4543 ± 0.0027
K-anonymised Random Forest,K-anonymity k=5,0.8919 ± 0.0037,0.5048 ± 0.0080,0.3464 ± 0.0077,0.9301 ± 0.0042,39941.0000 ± 3.6056,59.0000 ± 3.6056,0.1460 ± 0.0089,0.4596 ± 0.0014
K-anonymised Random Forest,K-anonymity k=50,0.8928 ± 0.0023,0.5073 ± 0.0047,0.3485 ± 0.0048,0.9321 ± 0.0030,39112.6000 ± 68.3396,887.4000 ± 68.3396,2.2180 ± 0.1695,0.4485 ± 0.0092
Logistic Regression,Baseline (No Privacy),0.9017 ± 0.0023,0.5234 ± 0.0052,0.3671 ± 0.0053,0.9115 ± 0.0076,40000.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0226 ± 0.0066
Random Forest,Baseline (No Privacy),0.8929 ± 0.0045,0.5070 ± 0.0090,0.3486 ± 0.0092,0.9294 ± 0.0061,40000.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4727 ± 0.0022
