Seed,Model,Privacy Setting,Train Rows Used,Rows Suppressed,Suppression Rate (%),Equivalence Classes Before,Equivalence Classes After,Min Equivalence Class Size,Accuracy,F1 Score,Precision,Recall,Train Time (s),Predict Time (s),Skipped Reason
1,Logistic Regression,Baseline (No Privacy),40000,0,0.0,131,131,1,0.9009,0.5233,0.3658,0.9189,0.0226,0.0005,
1,Random Forest,Baseline (No Privacy),40000,0,0.0,131,131,1,0.8912,0.5023,0.3444,0.9274,0.4722,0.0393,
1,K-anonymised Logistic Regression,K-anonymity k=2,39986,14,0.03,131,117,2,0.9009,0.5233,0.3658,0.9189,0.0183,0.0004,
1,K-anonymised Random Forest,K-anonymity k=2,39986,14,0.03,131,117,2,0.8913,0.5034,0.345,0.9307,0.4855,0.0389,
1,K-anonymised Logistic Regression,K-anonymity k=5,39937,63,0.16,131,99,8,0.9009,0.5233,0.3658,0.9189,0.0185,0.0004,
1,K-anonymised Random Forest,K-anonymity k=5,39937,63,0.16,131,99,8,0.8911,0.5021,0.3442,0.9274,0.4578,0.038,
1,K-anonymised Logistic Regression,K-anonymity k=10,39913,87,0.22,131,96,10,0.9009,0.5233,0.3658,0.9189,0.0174,0.0004,
1,K-anonymised Random Forest,K-anonymity k=10,39913,87,0.22,131,96,10,0.8911,0.5034,0.3448,0.9324,0.4732,0.038,
1,K-anonymised Logistic Regression,K-anonymity k=20,39706,294,0.73,131,82,20,0.9016,0.5242,0.3672,0.9155,0.017,0.0004,
1,K-anonymised Random Forest,K-anonymity k=20,39706,294,0.73,131,82,20,0.8906,0.5023,0.3437,0.9324,0.4516,0.0423,
1,K-anonymised Logistic Regression,K-anonymity k=50,39193,807,2.02,131,67,52,0.8997,0.5199,0.3627,0.9172,0.0172,0.0004,
1,K-anonymised Random Forest,K-anonymity k=50,39193,807,2.02,131,67,52,0.8914,0.5041,0.3454,0.9324,0.4639,0.0383,
1,K-anonymised Logistic Regression,K-anonymity k=100,38467,1533,3.83,131,56,103,0.901,0.5231,0.3659,0.9172,0.021,0.0004,
1,K-anonymised Random Forest,K-anonymity k=100,38467,1533,3.83,131,56,103,0.8921,0.5057,0.347,0.9324,0.43,0.0364,
21,Logistic Regression,Baseline (No Privacy),40000,0,0.0,135,135,1,0.9041,0.5264,0.3719,0.9003,0.0188,0.0004,
21,Random Forest,Baseline (No Privacy),40000,0,0.0,135,135,1,0.8976,0.5165,0.3585,0.924,0.4743,0.0401,
21,K-anonymised Logistic Regression,K-anonymity k=2,39983,17,0.04,135,118,2,0.9041,0.5264,0.3719,0.9003,0.0193,0.0004,
21,K-anonymised Random Forest,K-anonymity k=2,39983,17,0.04,135,118,2,0.8975,0.5163,0.3582,0.924,0.4782,0.0397,
21,K-anonymised Logistic Regression,K-anonymity k=5,39942,58,0.14,135,100,5,0.9041,0.5264,0.3719,0.9003,0.0172,0.0004,
21,K-anonymised Random Forest,K-anonymity k=5,39942,58,0.14,135,100,5,0.8962,0.5131,0.3552,0.924,0.4589,0.0386,
21,K-anonymised Logistic Regression,K-anonymity k=10,39901,99,0.25,135,94,13,0.9041,0.5264,0.3719,0.9003,0.0158,0.0005,
21,K-anonymised Random Forest,K-anonymity k=10,39901,99,0.25,135,94,13,0.8965,0.5134,0.3557,0.9223,0.4545,0.0382,
21,K-anonymised Logistic Regression,K-anonymity k=20,39695,305,0.76,135,81,21,0.9047,0.528,0.3735,0.9003,0.0165,0.0004,
21,K-anonymised Random Forest,K-anonymity k=20,39695,305,0.76,135,81,21,0.8959,0.5133,0.3549,0.9274,0.4525,0.0381,
21,K-anonymised Logistic Regression,K-anonymity k=50,39062,938,2.34,135,64,61,0.8898,0.4963,0.3402,0.9172,0.018,0.0004,
21,K-anonymised Random Forest,K-anonymity k=50,39062,938,2.34,135,64,61,0.8966,0.515,0.3565,0.9274,0.4428,0.038,
21,K-anonymised Logistic Regression,K-anonymity k=100,38515,1485,3.71,135,56,103,0.8898,0.4963,0.3402,0.9172,0.0189,0.0005,
21,K-anonymised Random Forest,K-anonymity k=100,38515,1485,3.71,135,56,103,0.8952,0.5121,0.3535,0.9291,0.4283,0.0373,
42,Logistic Regression,Baseline (No Privacy),40000,0,0.0,136,136,1,0.8989,0.5174,0.3606,0.9155,0.034,0.0004,
42,Random Forest,Baseline (No Privacy),40000,0,0.0,136,136,1,0.897,0.5151,0.357,0.924,0.4723,0.0391,
42,K-anonymised Logistic Regression,K-anonymity k=2,39980,20,0.05,136,116,2,0.8989,0.5174,0.3606,0.9155,0.0188,0.0004,
42,K-anonymised Random Forest,K-anonymity k=2,39980,20,0.05,136,116,2,0.8921,0.5053,0.3468,0.9307,0.4712,0.0391,
42,K-anonymised Logistic Regression,K-anonymity k=5,39938,62,0.15,136,100,5,0.8989,0.5174,0.3606,0.9155,0.0174,0.0004,
42,K-anonymised Random Forest,K-anonymity k=5,39938,62,0.15,136,100,5,0.8922,0.506,0.3472,0.9324,0.4591,0.0383,
42,K-anonymised Logistic Regression,K-anonymity k=10,39900,100,0.25,136,95,11,0.8989,0.5174,0.3606,0.9155,0.0175,0.0006,
