Model,Privacy Setting,Accuracy mean,Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,Train Time (s) mean,Train Time (s) std,Predict Time (s) mean,Predict Time (s) std,Train Rows Used mean,Train Rows Used std,Rows Suppressed mean,Rows Suppressed std,Suppression Rate (%) mean,Suppression Rate (%) std,Equivalence Classes After mean,Equivalence Classes After std,Min Equivalence Class Size mean,Min Equivalence Class Size std
K-anonymised Logistic Regression,K-anonymity k=10,0.9017,0.0023,0.5234,0.0052,0.3671,0.0053,0.9115,0.0076,0.0166,0.001,0.0005,0.0001,39908.0,7.0,92.0,7.0,0.23,0.0187,95.4,1.1402,11.4,1.1402
K-anonymised Logistic Regression,K-anonymity k=100,0.8915,0.0058,0.501,0.0132,0.3445,0.0129,0.9192,0.0037,0.0216,0.002,0.0004,0.0001,38441.6,49.4196,1558.4,49.4196,3.896,0.1252,55.4,0.5477,103.0,1.8708
K-anonymised Logistic Regression,K-anonymity k=2,0.9017,0.0023,0.5234,0.0052,0.3671,0.0053,0.9115,0.0076,0.0185,0.0005,0.0004,0.0,39982.0,2.5495,18.0,2.5495,0.044,0.0089,116.4,1.1402,2.0,0.0
K-anonymised Logistic Regression,K-anonymity k=20,0.8968,0.0081,0.5122,0.0169,0.3562,0.0175,0.9132,0.0103,0.017,0.0007,0.0004,0.0,39689.0,13.3978,311.0,13.3978,0.776,0.0351,81.2,0.8367,20.8,0.8367
K-anonymised Logistic Regression,K-anonymity k=5,0.9017,0.0023,0.5234,0.0052,0.3671,0.0053,0.9115,0.0076,0.0176,0.0006,0.0004,0.0,39941.0,3.6056,59.0,3.6056,0.146,0.0089,100.0,0.7071,5.6,1.3416
K-anonymised Logistic Regression,K-anonymity k=50,0.8902,0.0056,0.4984,0.0126,0.3418,0.0122,0.9206,0.0036,0.018,0.0005,0.0004,0.0001,39112.6,68.3396,887.4,68.3396,2.218,0.1695,65.2,1.3038,56.2,4.5497
K-anonymised Random Forest,K-anonymity k=10,0.8924,0.0023,0.5061,0.0042,0.3475,0.0047,0.9311,0.0051,0.4623,0.0069,0.0385,0.0004,39908.0,7.0,92.0,7.0,0.23,0.0187,95.4,1.1402,11.4,1.1402
K-anonymised Random Forest,K-anonymity k=100,0.8911,0.0029,0.5028,0.0072,0.3446,0.0065,0.9297,0.0044,0.4305,0.0016,0.037,0.0004,38441.6,49.4196,1558.4,49.4196,3.896,0.1252,55.4,0.5477,103.0,1.8708
K-anonymised Random Forest,K-anonymity k=2,0.8926,0.0028,0.5063,0.0057,0.3479,0.0059,0.93,0.0037,0.4751,0.0067,0.0393,0.0003,39982.0,2.5495,18.0,2.5495,0.044,0.0089,116.4,1.1402,2.0,0.0
K-anonymised Random Forest,K-anonymity k=20,0.892,0.0042,0.5055,0.0083,0.3469,0.0085,0.9318,0.0051,0.4543,0.0027,0.0391,0.0018,39689.0,13.3978,311.0,13.3978,0.776,0.0351,81.2,0.8367,20.8,0.8367
K-anonymised Random Forest,K-anonymity k=5,0.8919,0.0037,0.5048,0.008,0.3464,0.0077,0.9301,0.0042,0.4596,0.0014,0.0385,0.0003,39941.0,3.6056,59.0,3.6056,0.146,0.0089,100.0,0.7071,5.6,1.3416
K-anonymised Random Forest,K-anonymity k=50,0.8928,0.0023,0.5073,0.0047,0.3485,0.0048,0.9321,0.003,0.4485,0.0092,0.0381,0.0003,39112.6,68.3396,887.4,68.3396,2.218,0.1695,65.2,1.3038,56.2,4.5497
Logistic Regression,Baseline (No Privacy),0.9017,0.0023,0.5234,0.0052,0.3671,0.0053,0.9115,0.0076,0.0226,0.0066,0.0004,0.0001,40000.0,0.0,0.0,0.0,0.0,0.0,134.4,1.9494,1.0,0.0
Random Forest,Baseline (No Privacy),0.8929,0.0045,0.507,0.009,0.3486,0.0092,0.9294,0.0061,0.4727,0.0022,0.0395,0.0004,40000.0,0.0,0.0,0.0,0.0,0.0,134.4,1.9494,1.0,0.0
