Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Rows Used,Rows Suppressed,Suppression Rate (%),Train Time (s)
K-anonymised Logistic Regression,K-anonymity k=10,0.8767 ± 0.0056,0.5720 ± 0.0144,0.4310 ± 0.0112,0.8519 ± 0.0472,2166.0000 ± 8.1854,65.0000 ± 8.1854,2.9140 ± 0.3677,0.0030 ± 0.0002
K-anonymised Logistic Regression,K-anonymity k=100,NA,NA,NA,NA,0.0000 ± 0.0000,2231.0000 ± 0.0000,100.0000 ± 0.0000,NA
K-anonymised Logistic Regression,K-anonymity k=2,0.8857 ± 0.0064,0.5893 ± 0.0112,0.4524 ± 0.0129,0.8482 ± 0.0546,2231.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0032 ± 0.0001
K-anonymised Logistic Regression,K-anonymity k=20,0.8473 ± 0.0147,0.5241 ± 0.0201,0.3763 ± 0.0212,0.8667 ± 0.0401,1858.8000 ± 44.9411,372.2000 ± 44.9411,16.6840 ± 2.0132,0.0026 ± 0.0002
K-anonymised Logistic Regression,K-anonymity k=5,0.8853 ± 0.0072,0.5886 ± 0.0117,0.4517 ± 0.0145,0.8482 ± 0.0546,2230.2000 ± 1.7889,0.8000 ± 1.7889,0.0360 ± 0.0805,0.0033 ± 0.0003
K-anonymised Logistic Regression,K-anonymity k=50,0.6552 ± 0.1161,0.3633 ± 0.0902,0.2303 ± 0.0801,0.9445 ± 0.0540,408.0000 ± 58.7324,1823.0000 ± 58.7324,81.7120 ± 2.6331,0.0015 ± 0.0000
K-anonymised Random Forest,K-anonymity k=10,0.9477 ± 0.0095,0.7031 ± 0.0626,0.7754 ± 0.0466,0.6444 ± 0.0757,2166.0000 ± 8.1854,65.0000 ± 8.1854,2.9140 ± 0.3677,0.1308 ± 0.0036
K-anonymised Random Forest,K-anonymity k=100,NA,NA,NA,NA,0.0000 ± 0.0000,2231.0000 ± 0.0000,100.0000 ± 0.0000,NA
K-anonymised Random Forest,K-anonymity k=2,0.9477 ± 0.0099,0.7096 ± 0.0587,0.7647 ± 0.0554,0.6630 ± 0.0686,2231.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1359 ± 0.0039
K-anonymised Random Forest,K-anonymity k=20,0.9441 ± 0.0073,0.6783 ± 0.0550,0.7602 ± 0.0232,0.6148 ± 0.0801,1858.8000 ± 44.9411,372.2000 ± 44.9411,16.6840 ± 2.0132,0.1135 ± 0.0088
K-anonymised Random Forest,K-anonymity k=5,0.9473 ± 0.0098,0.7070 ± 0.0578,0.7638 ± 0.0549,0.6593 ± 0.0675,2230.2000 ± 1.7889,0.8000 ± 1.7889,0.0360 ± 0.0805,0.1367 ± 0.0032
K-anonymised Random Forest,K-anonymity k=50,0.9355 ± 0.0111,0.5577 ± 0.1066,0.8106 ± 0.0537,0.4333 ± 0.1253,408.0000 ± 58.7324,1823.0000 ± 58.7324,81.7120 ± 2.6331,0.0459 ± 0.0020
Logistic Regression,Baseline (No K-anonymity),0.8857 ± 0.0064,0.5893 ± 0.0112,0.4524 ± 0.0129,0.8482 ± 0.0546,2231.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0037 ± 0.0006
Random Forest,Baseline (No K-anonymity),0.9477 ± 0.0099,0.7096 ± 0.0587,0.7647 ± 0.0554,0.6630 ± 0.0686,2231.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.1360 ± 0.0051
