Seed,Model,Privacy Setting,Train Rows Used,Rows Suppressed,Suppression Rate (%),Equivalence Classes Before,Equivalence Classes After,Min Equivalence Class Size,Accuracy,F1 Score,Precision,Recall,Train Time (s),Predict Time (s),Skipped Reason
1,Logistic Regression,Baseline (No K-anonymity),2231,0,0.0,80,80,6,0.8996,0.6,0.4884,0.7778,0.0047,0.0003,
1,Random Forest,Baseline (No K-anonymity),2231,0,0.0,80,80,6,0.9444,0.6437,0.8485,0.5185,0.1397,0.0043,
1,K-anonymised Logistic Regression,K-anonymity k=2,2231,0,0.0,80,80,6,0.8996,0.6,0.4884,0.7778,0.0033,0.0003,
1,K-anonymised Random Forest,K-anonymity k=2,2231,0,0.0,80,80,6,0.9444,0.6437,0.8485,0.5185,0.1344,0.004,
1,K-anonymised Logistic Regression,K-anonymity k=5,2231,0,0.0,80,80,6,0.8996,0.6,0.4884,0.7778,0.0032,0.0003,
1,K-anonymised Random Forest,K-anonymity k=5,2231,0,0.0,80,80,6,0.9444,0.6437,0.8485,0.5185,0.1346,0.0039,
1,K-anonymised Logistic Regression,K-anonymity k=10,2175,56,2.51,80,72,10,0.8925,0.589,0.4674,0.7963,0.0033,0.0003,
1,K-anonymised Random Forest,K-anonymity k=10,2175,56,2.51,80,72,10,0.9444,0.6517,0.8286,0.537,0.1311,0.004,
1,K-anonymised Logistic Regression,K-anonymity k=20,1894,337,15.11,80,54,20,0.8799,0.5621,0.4343,0.7963,0.0027,0.0003,
1,K-anonymised Random Forest,K-anonymity k=20,1894,337,15.11,80,54,20,0.9444,0.6667,0.7949,0.5741,0.11,0.0041,
1,K-anonymised Logistic Regression,K-anonymity k=50,398,1833,82.16,80,7,50,0.8226,0.4817,0.3358,0.8519,0.0017,0.0003,
1,K-anonymised Random Forest,K-anonymity k=50,398,1833,82.16,80,7,50,0.914,0.25,0.8,0.1481,0.0468,0.0031,
1,K-anonymised Logistic Regression,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
1,K-anonymised Random Forest,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
21,Logistic Regression,Baseline (No K-anonymity),2231,0,0.0,80,80,6,0.8746,0.557,0.4231,0.8148,0.0034,0.0003,
21,Random Forest,Baseline (No K-anonymity),2231,0,0.0,80,80,6,0.9462,0.6809,0.8,0.5926,0.137,0.0043,
21,K-anonymised Logistic Regression,K-anonymity k=2,2231,0,0.0,80,80,6,0.8746,0.557,0.4231,0.8148,0.0034,0.0003,
21,K-anonymised Random Forest,K-anonymity k=2,2231,0,0.0,80,80,6,0.9462,0.6809,0.8,0.5926,0.1369,0.0045,
21,K-anonymised Logistic Regression,K-anonymity k=5,2231,0,0.0,80,80,6,0.8746,0.557,0.4231,0.8148,0.0038,0.0003,
21,K-anonymised Random Forest,K-anonymity k=5,2231,0,0.0,80,80,6,0.9462,0.6809,0.8,0.5926,0.1432,0.0047,
21,K-anonymised Logistic Regression,K-anonymity k=10,2172,59,2.64,80,72,10,0.8674,0.5432,0.4074,0.8148,0.0029,0.0003,
21,K-anonymised Random Forest,K-anonymity k=10,2172,59,2.64,80,72,10,0.9373,0.6237,0.7436,0.537,0.1453,0.0044,
21,K-anonymised Logistic Regression,K-anonymity k=20,1897,334,14.97,80,54,20,0.8584,0.538,0.3932,0.8519,0.0028,0.0003,
21,K-anonymised Random Forest,K-anonymity k=20,1897,334,14.97,80,54,20,0.9355,0.6,0.75,0.5,0.117,0.0043,
21,K-anonymised Logistic Regression,K-anonymity k=50,463,1768,79.25,80,8,51,0.5269,0.2865,0.1677,0.9815,0.0015,0.0003,
21,K-anonymised Random Forest,K-anonymity k=50,463,1768,79.25,80,8,51,0.9283,0.5238,0.7333,0.4074,0.0524,0.0034,
21,K-anonymised Logistic Regression,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
21,K-anonymised Random Forest,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
42,Logistic Regression,Baseline (No K-anonymity),2231,0,0.0,80,80,6,0.8871,0.5935,0.4554,0.8519,0.0038,0.0004,
42,Random Forest,Baseline (No K-anonymity),2231,0,0.0,80,80,6,0.9444,0.6869,0.7556,0.6296,0.146,0.0045,
42,K-anonymised Logistic Regression,K-anonymity k=2,2231,0,0.0,80,80,6,0.8871,0.5935,0.4554,0.8519,0.0032,0.0004,
42,K-anonymised Random Forest,K-anonymity k=2,2231,0,0.0,80,80,6,0.9444,0.6869,0.7556,0.6296,0.1402,0.0042,
42,K-anonymised Logistic Regression,K-anonymity k=5,2231,0,0.0,80,80,6,0.8871,0.5935,0.4554,0.8519,0.0034,0.0003,
42,K-anonymised Random Forest,K-anonymity k=5,2231,0,0.0,80,80,6,0.9444,0.6869,0.7556,0.6296,0.1359,0.004,
42,K-anonymised Logistic Regression,K-anonymity k=10,2173,58,2.6,80,72,10,0.8799,0.5786,0.4381,0.8519,0.0035,0.0004,
42,K-anonymised Random Forest,K-anonymity k=10,2173,58,2.6,80,72,10,0.9373,0.6237,0.7436,0.537,0.1326,0.0041,
42,K-anonymised Logistic Regression,K-anonymity k=20,1843,388,17.39,80,51,20,0.8495,0.5227,0.377,0.8519,0.0026,0.0003,
42,K-anonymised Random Forest,K-anonymity k=20,1843,388,17.39,80,51,20,0.9409,0.6452,0.7692,0.5556,0.1057,0.0039,
42,K-anonymised Logistic Regression,K-anonymity k=50,474,1757,78.75,80,8,51,0.6039,0.3283,0.1964,1.0,0.0014,0.0003,
42,K-anonymised Random Forest,K-anonymity k=50,474,1757,78.75,80,8,51,0.9409,0.6118,0.8387,0.4815,0.0477,0.0034,
42,K-anonymised Logistic Regression,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
42,K-anonymised Random Forest,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
100,Logistic Regression,Baseline (No K-anonymity),2231,0,0.0,80,80,4,0.9032,0.6197,0.5,0.8148,0.0032,0.0003,
100,Random Forest,Baseline (No K-anonymity),2231,0,0.0,80,80,4,0.9427,0.6863,0.7292,0.6481,0.1251,0.0039,
100,K-anonymised Logistic Regression,K-anonymity k=2,2231,0,0.0,80,80,4,0.9032,0.6197,0.5,0.8148,0.0028,0.0003,
100,K-anonymised Random Forest,K-anonymity k=2,2231,0,0.0,80,80,4,0.9427,0.6863,0.7292,0.6481,0.1256,0.004,
100,K-anonymised Logistic Regression,K-anonymity k=5,2227,4,0.18,80,79,6,0.9032,0.6197,0.5,0.8148,0.0027,0.0003,
100,K-anonymised Random Forest,K-anonymity k=5,2227,4,0.18,80,79,6,0.9444,0.699,0.7347,0.6667,0.1295,0.0045,
100,K-anonymised Logistic Regression,K-anonymity k=10,2177,54,2.42,80,72,10,0.8943,0.5986,0.4731,0.8148,0.0032,0.0003,
100,K-anonymised Random Forest,K-anonymity k=10,2177,54,2.42,80,72,10,0.948,0.7129,0.766,0.6667,0.1247,0.0041,
100,K-anonymised Logistic Regression,K-anonymity k=20,1899,332,14.88,80,54,20,0.8871,0.5882,0.4545,0.8333,0.0027,0.0003,
100,K-anonymised Random Forest,K-anonymity k=20,1899,332,14.88,80,54,20,0.9462,0.7115,0.74,0.6852,0.1075,0.0038,
100,K-anonymised Logistic Regression,K-anonymity k=50,414,1817,81.44,80,7,50,0.7384,0.3917,0.2527,0.8704,0.0014,0.0003,
100,K-anonymised Random Forest,K-anonymity k=50,414,1817,81.44,80,7,50,0.9355,0.6087,0.7368,0.5185,0.0439,0.0032,
100,K-anonymised Logistic Regression,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
100,K-anonymised Random Forest,K-anonymity k=100,0,2231,100.0,80,0,0,,,,,,,No training rows left after K-anonymity
123,Logistic Regression,Baseline (No K-anonymity),2231,0,0.0,80,80,5,0.8996,0.641,0.4902,0.9259,0.0034,0.0004,
123,Random Forest,Baseline (No K-anonymity),2231,0,0.0,80,80,5,0.9498,0.6957,0.8421,0.5926,0.1436,0.0047,
