Model,Privacy Setting,Accuracy mean,Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,Train Time (s) mean,Train Time (s) std,Predict Time (s) mean,Predict Time (s) std,Train Rows Used mean,Train Rows Used std,Rows Suppressed mean,Rows Suppressed std,Suppression Rate (%) mean,Suppression Rate (%) std,Equivalence Classes After mean,Equivalence Classes After std,Min Equivalence Class Size mean,Min Equivalence Class Size std
K-anonymised Logistic Regression,K-anonymity k=10,0.8767,0.0056,0.572,0.0144,0.431,0.0112,0.8519,0.0472,0.003,0.0002,0.0004,0.0001,2166.0,8.1854,65.0,8.1854,2.914,0.3677,71.2,0.8367,10.8,0.8367
K-anonymised Logistic Regression,K-anonymity k=100,,,,,,,,,,,,,0.0,0.0,2231.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
K-anonymised Logistic Regression,K-anonymity k=2,0.8857,0.0064,0.5893,0.0112,0.4524,0.0129,0.8482,0.0546,0.0032,0.0001,0.0003,0.0,2231.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,0.7071
K-anonymised Logistic Regression,K-anonymity k=20,0.8473,0.0147,0.5241,0.0201,0.3763,0.0212,0.8667,0.0401,0.0026,0.0002,0.0003,0.0001,1858.8,44.9411,372.2,44.9411,16.684,2.0132,51.8,2.1679,20.0,0.0
K-anonymised Logistic Regression,K-anonymity k=5,0.8853,0.0072,0.5886,0.0117,0.4517,0.0145,0.8482,0.0546,0.0033,0.0003,0.0003,0.0,2230.2,1.7889,0.8,1.7889,0.036,0.0805,79.8,0.4472,5.4,0.5477
K-anonymised Logistic Regression,K-anonymity k=50,0.6552,0.1161,0.3633,0.0902,0.2303,0.0801,0.9445,0.054,0.0015,0.0,0.0003,0.0,408.0,58.7324,1823.0,58.7324,81.712,2.6331,7.0,1.0,50.8,0.8367
K-anonymised Random Forest,K-anonymity k=10,0.9477,0.0095,0.7031,0.0626,0.7754,0.0466,0.6444,0.0757,0.1308,0.0036,0.0042,0.0002,2166.0,8.1854,65.0,8.1854,2.914,0.3677,71.2,0.8367,10.8,0.8367
K-anonymised Random Forest,K-anonymity k=100,,,,,,,,,,,,,0.0,0.0,2231.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
K-anonymised Random Forest,K-anonymity k=2,0.9477,0.0099,0.7096,0.0587,0.7647,0.0554,0.663,0.0686,0.1359,0.0039,0.0041,0.0001,2231.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,0.7071
K-anonymised Random Forest,K-anonymity k=20,0.9441,0.0073,0.6783,0.055,0.7602,0.0232,0.6148,0.0801,0.1135,0.0088,0.0042,0.0002,1858.8,44.9411,372.2,44.9411,16.684,2.0132,51.8,2.1679,20.0,0.0
K-anonymised Random Forest,K-anonymity k=5,0.9473,0.0098,0.707,0.0578,0.7638,0.0549,0.6593,0.0675,0.1367,0.0032,0.0042,0.0002,2230.2,1.7889,0.8,1.7889,0.036,0.0805,79.8,0.4472,5.4,0.5477
K-anonymised Random Forest,K-anonymity k=50,0.9355,0.0111,0.5577,0.1066,0.8106,0.0537,0.4333,0.1253,0.0459,0.002,0.0032,0.0001,408.0,58.7324,1823.0,58.7324,81.712,2.6331,7.0,1.0,50.8,0.8367
Logistic Regression,Baseline (No K-anonymity),0.8857,0.0064,0.5893,0.0112,0.4524,0.0129,0.8482,0.0546,0.0037,0.0006,0.0004,0.0001,2231.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,0.7071
Random Forest,Baseline (No K-anonymity),0.9477,0.0099,0.7096,0.0587,0.7647,0.0554,0.663,0.0686,0.136,0.0051,0.0042,0.0003,2231.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,0.7071
