Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s)
DP Logistic Regression,DP e=0.1,0.8513 ± 0.0483,0.1396 ± 0.0988,0.1596 ± 0.1374,0.1382 ± 0.0984,0.0018 ± 0.0003
DP Logistic Regression,DP e=0.5,0.8867 ± 0.0097,0.1806 ± 0.1221,0.3308 ± 0.1378,0.1418 ± 0.1131,0.0023 ± 0.0004
DP Logistic Regression,DP e=1.0,0.8160 ± 0.0441,0.1443 ± 0.1186,0.1345 ± 0.1256,0.1636 ± 0.1213,0.0019 ± 0.0003
DP Logistic Regression,DP e=10.0,0.9013 ± 0.0016,0.0270 ± 0.0435,0.2200 ± 0.3033,0.0145 ± 0.0237,0.0026 ± 0.0003
DP Logistic Regression,DP e=5.0,0.9016 ± 0.0026,0.0339 ± 0.0479,0.2500 ± 0.3536,0.0182 ± 0.0257,0.0026 ± 0.0005
DP Random Forest,DP e=0.1,0.9016 ± 0.0008,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0106 ± 0.0004
DP Random Forest,DP e=0.5,0.9020 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0104 ± 0.0004
DP Random Forest,DP e=1.0,0.9020 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0108 ± 0.0006
DP Random Forest,DP e=10.0,0.9020 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0108 ± 0.0005
DP Random Forest,DP e=5.0,0.9020 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0105 ± 0.0004
Logistic Regression,Baseline (No Privacy),0.9012 ± 0.0032,0.0341 ± 0.0482,0.2833 ± 0.3891,0.0182 ± 0.0257,0.0023 ± 0.0007
Logistic Regression Balanced,Baseline (No Privacy),0.7209 ± 0.0175,0.3494 ± 0.0093,0.2267 ± 0.0089,0.7636 ± 0.0340,0.0027 ± 0.0002
Random Forest,Baseline (No Privacy),0.8980 ± 0.0095,0.1164 ± 0.0681,0.4756 ± 0.3547,0.0691 ± 0.0415,0.1430 ± 0.0028
Random Forest Balanced,Baseline (No Privacy),0.9005 ± 0.0036,0.1293 ± 0.0578,0.4329 ± 0.1511,0.0764 ± 0.0350,0.1422 ± 0.0048
