Seed,Model,Privacy Setting,Accuracy,F1 Score,Precision,Recall,Train Time (s),Predict Time (s)
1,Logistic Regression,Baseline (No Privacy),0.9283,0.4737,0.8182,0.3333,0.0043,0.0003
1,Random Forest,Baseline (No Privacy),0.9427,0.6364,0.8235,0.5185,0.165,0.0053
1,Logistic Regression Balanced,Baseline (No Privacy),0.8943,0.5874,0.4719,0.7778,0.0031,0.0003
1,Random Forest Balanced,Baseline (No Privacy),0.948,0.6742,0.8571,0.5556,0.1567,0.0043
1,DP Logistic Regression,DP e=10.0,0.9265,0.4675,0.7826,0.3333,0.0029,0.0003
1,DP Random Forest,DP e=10.0,0.905,0.0364,1.0,0.0185,0.0118,0.0008
1,DP Logistic Regression,DP e=5.0,0.9265,0.4533,0.8095,0.3148,0.0031,0.0003
1,DP Random Forest,DP e=5.0,0.9032,0.0,0.0,0.0,0.0108,0.0008
1,DP Logistic Regression,DP e=1.0,0.9032,0.0,0.0,0.0,0.0024,0.0003
1,DP Random Forest,DP e=1.0,0.9032,0.0,0.0,0.0,0.0104,0.0007
1,DP Logistic Regression,DP e=0.5,0.828,0.0588,0.0625,0.0556,0.0024,0.0003
1,DP Random Forest,DP e=0.5,0.9032,0.0,0.0,0.0,0.0103,0.0007
1,DP Logistic Regression,DP e=0.1,0.7061,0.2039,0.1382,0.3889,0.0018,0.0003
1,DP Random Forest,DP e=0.1,0.9032,0.0,0.0,0.0,0.0102,0.0007
21,Logistic Regression,Baseline (No Privacy),0.9265,0.4533,0.8095,0.3148,0.0024,0.0003
21,Random Forest,Baseline (No Privacy),0.9498,0.7021,0.825,0.6111,0.1943,0.0079
21,Logistic Regression Balanced,Baseline (No Privacy),0.8674,0.5375,0.4057,0.7963,0.0045,0.0004
21,Random Forest Balanced,Baseline (No Privacy),0.9444,0.6667,0.7949,0.5741,0.1895,0.0041
21,DP Logistic Regression,DP e=10.0,0.9283,0.4737,0.8182,0.3333,0.0031,0.0003
21,DP Random Forest,DP e=10.0,0.9032,0.0,0.0,0.0,0.0106,0.0007
21,DP Logistic Regression,DP e=5.0,0.9319,0.5128,0.8333,0.3704,0.0028,0.0003
21,DP Random Forest,DP e=5.0,0.9032,0.0,0.0,0.0,0.011,0.0007
21,DP Logistic Regression,DP e=1.0,0.819,0.192,0.169,0.2222,0.0021,0.0004
21,DP Random Forest,DP e=1.0,0.905,0.0702,0.6667,0.037,0.0115,0.0008
21,DP Logistic Regression,DP e=0.5,0.8889,0.3542,0.4048,0.3148,0.0021,0.0003
21,DP Random Forest,DP e=0.5,0.9032,0.0,0.0,0.0,0.0109,0.0007
21,DP Logistic Regression,DP e=0.1,0.8638,0.1364,0.1765,0.1111,0.0016,0.0002
21,DP Random Forest,DP e=0.1,0.9032,0.0,0.0,0.0,0.0113,0.0008
42,Logistic Regression,Baseline (No Privacy),0.9247,0.4167,0.8333,0.2778,0.0024,0.0003
42,Random Forest,Baseline (No Privacy),0.9516,0.7273,0.8,0.6667,0.1681,0.0045
42,Logistic Regression Balanced,Baseline (No Privacy),0.8817,0.5823,0.4423,0.8519,0.0032,0.0003
42,Random Forest Balanced,Baseline (No Privacy),0.9409,0.6598,0.7442,0.5926,0.1571,0.0042
42,DP Logistic Regression,DP e=10.0,0.9247,0.4474,0.7727,0.3148,0.0026,0.0003
42,DP Random Forest,DP e=10.0,0.9032,0.0,0.0,0.0,0.0114,0.0008
42,DP Logistic Regression,DP e=5.0,0.9265,0.4058,0.9333,0.2593,0.0031,0.0003
42,DP Random Forest,DP e=5.0,0.9032,0.0,0.0,0.0,0.0111,0.0007
42,DP Logistic Regression,DP e=1.0,0.8459,0.2321,0.2241,0.2407,0.002,0.0003
42,DP Random Forest,DP e=1.0,0.9032,0.0,0.0,0.0,0.011,0.0007
42,DP Logistic Regression,DP e=0.5,0.8925,0.4231,0.44,0.4074,0.0023,0.0003
42,DP Random Forest,DP e=0.5,0.9032,0.0,0.0,0.0,0.0108,0.0007
42,DP Logistic Regression,DP e=0.1,0.8817,0.1081,0.2,0.0741,0.0018,0.0003
42,DP Random Forest,DP e=0.1,0.9032,0.0,0.0,0.0,0.0105,0.0007
100,Logistic Regression,Baseline (No Privacy),0.9283,0.4872,0.7917,0.3519,0.0024,0.0003
100,Random Forest,Baseline (No Privacy),0.9462,0.7115,0.74,0.6852,0.1538,0.0043
100,Logistic Regression Balanced,Baseline (No Privacy),0.8961,0.6027,0.4783,0.8148,0.0036,0.0003
100,Random Forest Balanced,Baseline (No Privacy),0.9427,0.6863,0.7292,0.6481,0.1437,0.004
100,DP Logistic Regression,DP e=10.0,0.9301,0.4935,0.8261,0.3519,0.0028,0.0003
100,DP Random Forest,DP e=10.0,0.9068,0.0714,1.0,0.037,0.0109,0.0007
100,DP Logistic Regression,DP e=5.0,0.9319,0.5476,0.7667,0.4259,0.0028,0.0003
100,DP Random Forest,DP e=5.0,0.905,0.0702,0.6667,0.037,0.0106,0.0007
100,DP Logistic Regression,DP e=1.0,0.8656,0.2574,0.2766,0.2407,0.0018,0.0003
100,DP Random Forest,DP e=1.0,0.9014,0.0,0.0,0.0,0.0104,0.0007
100,DP Logistic Regression,DP e=0.5,0.9104,0.4186,0.5625,0.3333,0.0021,0.0002
100,DP Random Forest,DP e=0.5,0.9068,0.0714,1.0,0.037,0.0106,0.0008
100,DP Logistic Regression,DP e=0.1,0.9032,0.0,0.0,0.0,0.0015,0.0003
100,DP Random Forest,DP e=0.1,0.905,0.0702,0.6667,0.037,0.0109,0.0007
123,Logistic Regression,Baseline (No Privacy),0.948,0.642,0.963,0.4815,0.0025,0.0003
123,Random Forest,Baseline (No Privacy),0.9606,0.7708,0.881,0.6852,0.1651,0.0045
123,Logistic Regression Balanced,Baseline (No Privacy),0.8943,0.6289,0.4762,0.9259,0.0028,0.0003
123,Random Forest Balanced,Baseline (No Privacy),0.9498,0.6957,0.8421,0.5926,0.1564,0.0045
123,DP Logistic Regression,DP e=10.0,0.948,0.642,0.963,0.4815,0.0036,0.0003
123,DP Random Forest,DP e=10.0,0.9032,0.0,0.0,0.0,0.0111,0.0009
123,DP Logistic Regression,DP e=5.0,0.9516,0.6824,0.9355,0.537,0.0031,0.0004
123,DP Random Forest,DP e=5.0,0.9032,0.0,0.0,0.0,0.0119,0.0008
123,DP Logistic Regression,DP e=1.0,0.9176,0.2581,1.0,0.1481,0.0023,0.0004
123,DP Random Forest,DP e=1.0,0.9032,0.0,0.0,0.0,0.0121,0.0008
123,DP Logistic Regression,DP e=0.5,0.871,0.3333,0.3333,0.3333,0.0028,0.0003
123,DP Random Forest,DP e=0.5,0.9032,0.0,0.0,0.0,0.0116,0.0007
123,DP Logistic Regression,DP e=0.1,0.8889,0.1143,0.25,0.0741,0.0021,0.0003
123,DP Random Forest,DP e=0.1,0.9032,0.0,0.0,0.0,0.0116,0.0009
